ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob,encoded_label,rA_rX,rB_rX,d_AX,d_BX,chi_A,Z_A,chi_B,Z_B,chi_X,Z_X,delta_chi_AX,delta_chi_BX
LuTiO3,1,1,Lu,Ti,O,3,3,-2,1.03,0.67,1.4,0.83,3.79,1,1,0.71,1,0.7357142857142858,0.47857142857142865,2.4299999999999997,2.07,1.0,71.0,1.54,22.0,3.44,8.0,2.44,1.9
MgSeO3,-1,1,Mg,Se,O,2,4,-2,0.89,0.5,1.4,0.85,4.97,1,-1,0.23,0,0.6357142857142858,0.35714285714285715,2.29,1.9,1.31,12.0,2.55,34.0,3.44,8.0,2.13,0.8900000000000001
MgSiO3,1,1,Mg,Si,O,2,4,-2,0.89,0.4,1.4,0.9,5.06,1,-1,0.2,1,0.6357142857142858,0.28571428571428575,2.29,1.7999999999999998,1.31,12.0,1.9,14.0,3.44,8.0,2.13,1.54
MgVO3,-1,1,Mg,V,O,2,4,-2,0.89,0.58,1.4,0.82,5.58,-1,-1,0.12,0,0.6357142857142858,0.41428571428571426,2.29,1.98,1.31,12.0,1.63,23.0,3.44,8.0,2.13,1.81
NdMnO3,1,1,Nd,Mn,O,3,3,-2,1.27,0.64,1.4,0.92,1.89,1,1,0.97,1,0.9071428571428573,0.4571428571428572,2.67,2.04,1.14,60.0,1.55,25.0,3.44,8.0,2.3,1.89
NiMnO3,-1,1,Ni,Mn,O,2,4,-2,0.69,0.53,1.4,0.77,8.51,-1,-1,0.0,0,0.4928571428571428,0.3785714285714286,2.09,1.93,1.91,28.0,1.55,25.0,3.44,8.0,1.53,1.89
PrMnO3,1,1,Pr,Mn,O,3,3,-2,1.18,0.64,1.4,0.89,2.26,1,1,0.95,1,0.8428571428571429,0.4571428571428572,2.58,2.04,1.13,59.0,1.55,25.0,3.44,8.0,2.31,1.89
MnSO3,-1,1,Mn,S,O,2,4,-2,0.96,0.37,1.4,0.94,5.23,1,-1,0.17,0,0.6857142857142857,0.2642857142857143,2.36,1.77,1.55,25.0,2.58,16.0,3.44,8.0,1.89,0.8599999999999999
MnSiO3,-1,1,Mn,Si,O,2,4,-2,0.96,0.4,1.4,0.93,4.98,1,-1,0.22,0,0.6857142857142857,0.28571428571428575,2.36,1.7999999999999998,1.55,25.0,1.9,14.0,3.44,8.0,1.89,1.54
SmMnO3,1,1,Sm,Mn,O,3,3,-2,1.24,0.64,1.4,0.91,1.99,1,1,0.97,1,0.8857142857142858,0.4571428571428572,2.6399999999999997,2.04,1.17,62.0,1.55,25.0,3.44,8.0,2.27,1.89
SnMnO3,-1,1,Sn,Mn,O,2,4,-2,1.15,0.53,1.4,0.93,4.24,1,-1,0.5,0,0.8214285714285714,0.3785714285714286,2.55,1.93,1.96,50.0,1.55,25.0,3.44,8.0,1.48,1.89
SrMnO3,1,1,Sr,Mn,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1,1,0.58,1,1.0285714285714287,0.3785714285714286,2.84,1.93,0.95,38.0,1.55,25.0,3.44,8.0,2.49,1.89
TiMnO3,-1,1,Ti,Mn,O,3,3,-2,0.67,0.64,1.4,0.72,75.12,-1,-1,0.0,0,0.47857142857142865,0.4571428571428572,2.07,2.04,1.54,22.0,1.55,25.0,3.44,8.0,1.9,1.89
SrMoO3,1,1,Sr,Mo,O,2,4,-2,1.44,0.65,1.4,0.98,3.72,1,1,0.73,1,1.0285714285714287,0.46428571428571436,2.84,2.05,0.95,38.0,2.16,42.0,3.44,8.0,2.49,1.2799999999999998
NaNO3,-1,1,Na,N,O,1,5,-2,1.39,0.13,1.4,1.29,14.28,-1,-1,0.0,0,0.9928571428571429,0.09285714285714286,2.79,1.5299999999999998,0.93,11.0,3.04,7.0,3.44,8.0,2.51,0.3999999999999999
TlNO3,-1,1,Tl,N,O,1,5,-2,1.7,0.13,1.4,1.43,14.86,-1,-1,0.0,0,1.2142857142857144,0.09285714285714286,3.0999999999999996,1.5299999999999998,1.8,81.0,3.04,7.0,3.44,8.0,1.64,0.3999999999999999
NaPO3,-1,1,Na,P,O,1,5,-2,1.39,0.38,1.4,1.11,5.5,-1,-1,0.13,0,0.9928571428571429,0.27142857142857146,2.79,1.7799999999999998,0.93,11.0,2.19,15.0,3.44,8.0,2.51,1.25
NaUO3,1,1,Na,U,O,1,5,-2,1.39,0.76,1.4,0.91,3.87,1,1,0.67,1,0.9928571428571429,0.5428571428571429,2.79,2.16,0.93,11.0,1.7,92.0,3.44,8.0,2.51,1.74
NaVO3,-1,1,Na,V,O,1,5,-2,1.39,0.54,1.4,1.02,4.32,1,-1,0.47,0,0.9928571428571429,0.3857142857142858,2.79,1.94,0.93,11.0,1.63,23.0,3.44,8.0,2.51,1.81
